contactdate,contacttime,cadincident,casenumber,dispatched,encountertype,beat,bfostopped,areastopped,blocknumber,Address,intelligenceled,bwcactivated,subject_reasonforencounter,suspicion_type_AB953,ReasonForStop,InitiatingOffense_AB953,TypeTraffic_AB953,TrafficCode,subjectnumber,LocationVehicleOccupant,subject_age,subject_agegroup,perceived_age_AB953,gender_opd,perceived_gender_AB953,GenderNonCon,LGBT,race_opd,perceived_race_AB953,RacePerceivedPrior,Disability,Fluency,Student,EduCode,EduCodeSubdivision,oaklandresident,Parole,Probation,stop_relatedactions_AB953,search_relatedactions_AB953,uof_relatedactions_AB953,other_actions_AB953,Consent_Person,Consent_Given_Person,Consent_Property,Consent_Given_Property,no_actions_above_ck,handcuffed,citationnumber,subject_durationofencounter,SearchRelatedActions_AB953,searchconducted,searched,SearchBasis_AB953,SearchTypeGrouping_opd,EvidDisc_AB953,discovery_opd,BasisForSeizure_AB953,recovery_opd,PropertySeized_AB953,ResultofStop_AB953,resultofstop_opd,UseOfForce_opd,FinalDate,VTKReportID,vtkreportid_without_minus_sign,Unique ID
3/3/21,55:00.0,LOP210303000915,NULL,Non-Dispatch,Vehicle,12X,BFO 1,Area 2,5100,Telegraph Avenue,No,Yes,Traffic violation,NULL,Traffic Violation,21461.5-VC-PED FAIL OBEY TRAFIC SIGN-I,Moving violation,21461.5-VC-PED FAIL OBEY TRAFIC SIGN-I,1,Driver,33,30-39,30,M,Male,0,0,Asian,Middle Eastern or South Asian,No,"None,",0,NULL,NULL,NULL,Yes,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,2138933,5,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Citation for infraction - Offense(s) required,",Citation,NULL,3/4/21,341WALUGMMCQWE,341WALUGMMCQWE,341WALUGMMCQWE-1
3/3/21,04:00.0,LOP210303000922,NULL,Non-Dispatch,Vehicle,12X,BFO 1,Area 2,4500,Telegraph Avenue,No,Yes,Traffic violation,NULL,Traffic Violation,22450(A)-VC-FAIL STOP VEH:XWALK/ETC-I,Moving violation,22450(A)-VC-FAIL STOP VEH:XWALK/ETC-I,1,Driver,55,Over 40,55,M,Male,0,0,Black/African American,Black/African American,No,"None,",0,NULL,NULL,NULL,Yes,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,2138959,15,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Citation for infraction - Offense(s) required,",Citation,NULL,3/11/21,658WCCWQ4H8ZAE,658WCCWQ4H8ZAE,658WCCWQ4H8ZAE-1
3/3/21,55:00.0,LOP210303000973,NULL,Non-Dispatch,Vehicle,12X,BFO 1,Area 2,4300,Telegraph Avenue,No,Yes,Traffic violation,NULL,Traffic Violation,22450(A)-VC-FAIL STOP VEH:XWALK/ETC-I,Moving violation,22450(A)-VC-FAIL STOP VEH:XWALK/ETC-I,1,Driver,28,18-29,35,M,Male,0,0,White,White,No,"None,",0,NULL,NULL,NULL,Yes,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,2138961,15,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Citation for infraction - Offense(s) required,",Citation,NULL,3/11/21,658WCCWZ5VQIXC,658WCCWZ5VQIXC,658WCCWZ5VQIXC-1
3/3/21,35:00.0,LOP210303000959,NULL,Non-Dispatch,Vehicle,08X,BFO 1,Area 2,3300,Telegraph Avenue,No,Yes,Traffic violation,NULL,Traffic Violation,24252(A)-VC-FAIL MAINT VEH LITE EQUIP-I,Equipment violation,24252(A)-VC-FAIL MAINT VEH LITE EQUIP-I,1,Driver,29,18-29,50,F,Female,0,0,Black/African American,Black/African American,No,"None,",0,NULL,NULL,NULL,Yes,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,2138934,5,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Warning (verbal or written) - Offense(s) required,Citation for infraction - Offense(s) required,",Citation,NULL,3/4/21,341WALUJ38KROV,341WALUJ38KROV,341WALUJ38KROV-1
3/3/21,30:00.0,LOP210303000899,NULL,Non-Dispatch,Vehicle,08X,BFO 1,Area 2,2900,Telegraph Avenue,No,Yes,Traffic violation,NULL,Traffic Violation,27007-VC-LOUD OUTSIDE VEH AMP SYS-I,Moving violation,27007-VC-LOUD OUTSIDE VEH AMP SYS-I,1,Driver,22,18-29,20,M,Male,0,0,Black/African American,Black/African American,No,"None,",0,NULL,NULL,NULL,No,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,2138932,5,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Warning (verbal or written) - Offense(s) required,Citation for infraction - Offense(s) required,",Citation,NULL,3/4/21,341WALTZRJKI06,341WALTZRJKI06,341WALTZRJKI06-1
3/3/21,35:00.0,LOP210303001003,NULL,Non-Dispatch,Vehicle,08X,BFO 1,Area 2,2700,Telegraph Avenue,No,Yes,Traffic violation,NULL,Traffic Violation,24252(A)-VC-FAIL MAINT VEH LITE EQUIP-I,Equipment violation,24252(A)-VC-FAIL MAINT VEH LITE EQUIP-I,1,Driver,67,Over 40,50,M,Male,0,0,Black/African American,Black/African American,No,"None,",0,NULL,NULL,NULL,Yes,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,2138935,5,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Warning (verbal or written) - Offense(s) required,Citation for infraction - Offense(s) required,",Citation,NULL,3/4/21,263WCCVM3PZ9BT,263WCCVM3PZ9BT,263WCCVM3PZ9BT-1
3/4/21,06:00.0,LOP210304000369,NULL,Non-Dispatch,Vehicle,05Y,BFO 1,Area 1,1600,Frontage Road,No,Yes,Traffic violation,NULL,Traffic Violation,22350-VC-UNSAFE SPEED:PREVAIL COND-I,Moving violation,22350-VC-UNSAFE SPEED:PREVAIL COND-I,1,Driver,50,Over 40,40,M,Male,0,0,White,White,Yes,"None,",0,NULL,NULL,NULL,No,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,2139088,10,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Citation for infraction - Offense(s) required,",Citation,NULL,3/18/21,205WCDLP3LGCZ6,205WCDLP3LGCZ6,205WCDLP3LGCZ6-1
3/4/21,40:00.0,LOP210304000349,NULL,Non-Dispatch,Vehicle,05X,BFO 1,Area 1,1600,Frontage Road,No,Yes,Traffic violation,NULL,Traffic Violation,22350-VC-UNSAFE SPEED:PREVAIL COND-I,Moving violation,22350-VC-UNSAFE SPEED:PREVAIL COND-I,1,Driver,25,18-29,30,F,Female,0,0,Asian,Hispanic/Latino(a),No,"None,",0,NULL,NULL,NULL,No,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,2139087,10,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Citation for infraction - Offense(s) required,",Citation,NULL,3/18/21,205WCDLPMQQIPR,205WCDLPMQQIPR,205WCDLPMQQIPR-1
3/4/21,02:00.0,LOP210304000907,NULL,Non-Dispatch,Vehicle,35X,BFO 2,Area 5,9600,Golf Links Road,No,Yes,Traffic violation,NULL,Traffic Violation,22450(A)-VC-FAIL STOP VEH:XWALK/ETC-I,Moving violation,22450(A)-VC-FAIL STOP VEH:XWALK/ETC-I,1,Driver,17,Under 18,20,M,Male,0,0,Asian,Asian,No,"None,",0,NULL,NULL,NULL,No,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,2133112,10,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Citation for infraction - Offense(s) required,",Citation,NULL,3/10/21,LPRWCDVM2GS036,LPRWCDVM2GS036,LPRWCDVM2GS036-1
3/4/21,37:00.0,LOP210304000395,NULL,Non-Dispatch,Vehicle,27X,BFO 2,Area 4,1400,High Street,No,Yes,Traffic violation,NULL,Traffic Violation,21453(C)-VC-FAIL STOP LINE/ETC AT RED-I,Moving violation,21453(C)-VC-FAIL STOP LINE/ETC AT RED-I,1,Driver,60,Over 40,58,M,Male,0,0,Asian,Middle Eastern or South Asian,No,"None,",1,NULL,NULL,NULL,No,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,2148984,12,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Citation for infraction - Offense(s) required,",Citation,NULL,3/4/21,880WCDK0A4JAEP,880WCDK0A4JAEP,880WCDK0A4JAEP-1
3/4/21,22:00.0,LOP210304000791,NULL,Non-Dispatch,Vehicle,19X,BFO 1,Area 3,1500,International Boulevard,No,Yes,Traffic violation,NULL,Traffic Violation,22350-VC-UNSAFE SPEED:PREVAIL COND-I,Moving violation,22350-VC-UNSAFE SPEED:PREVAIL COND-I,1,NULL,23,18-29,25,M,Male,0,0,Hispanic,Hispanic/Latino(a),No,"None,",0,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,NULL,15,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Warning (verbal or written) - Offense(s) required,",Warning,NULL,7/15/21,464WCDSP26UYI0,464WCDSP26UYI0,464WCDSP26UYI0-1
3/4/21,06:00.0,LOP210304000040,NULL,Non-Dispatch,Vehicle,30Y,BFO 2,Area 5,7700,MacArthur Boulevard,No,Yes,Traffic violation,NULL,Traffic Violation,22450(A)-VC-FAIL STOP VEH:XWALK/ETC-I,Moving violation,22450(A)-VC-FAIL STOP VEH:XWALK/ETC-I,1,Driver,27,18-29,30,M,Male,0,0,Black/African American,Black/African American,No,"None,",0,NULL,NULL,NULL,Yes,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,NULL,15,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Warning (verbal or written) - Offense(s) required,",Warning,NULL,3/4/21,801WCDAEK5FO39,801WCDAEK5FO39,801WCDAEK5FO39-1
3/4/21,10:00.0,LOP210304000009,NULL,Non-Dispatch,Vehicle,23X,BFO 2,Area 4,3400,San Leandro Street,No,Yes,Traffic violation,NULL,Traffic Violation,22350-VC-UNSAFE SPEED:PREVAIL COND-I,Moving violation,22350-VC-UNSAFE SPEED:PREVAIL COND-I,1,Driver,33,30-39,28,M,Male,0,0,Black/African American,Black/African American,No,"None,",0,NULL,NULL,NULL,No,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,NULL,10,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Warning (verbal or written) - Offense(s) required,",Warning,NULL,3/9/21,726WCEBY3O9B1V,726WCEBY3O9B1V,726WCEBY3O9B1V-1
3/5/21,25:00.0,LOP210305000062,NULL,Non-Dispatch,Vehicle,34X,BFO 2,Area 5,9000,Olive Street,No,Yes,Traffic violation,NULL,Traffic Violation,22450(A)-VC-FAIL STOP VEH:XWALK/ETC-I,Moving violation,22450(A)-VC-FAIL STOP VEH:XWALK/ETC-I,1,Driver,47,Over 40,40,F,Female,0,0,Black/African American,Black/African American,No,"None,",0,NULL,NULL,NULL,Yes,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,2145433,15,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Warning (verbal or written) - Offense(s) required,In-field cite and release - Offense(s) required,",Arrest,NULL,3/5/21,801WCEBVKHRUIF,801WCEBVKHRUIF,801WCEBVKHRUIF-1
3/6/21,00:00.0,LOP210306000072,21-010463,Non-Dispatch,Vehicle,26X,BFO 2,Area 4,1300,61st Avenue,Yes,Yes,Traffic violation,NULL,Traffic Violation,23103-VC-RECKLESS DRIVING-M,Moving violation,23103-VC-RECKLESS DRIVING-M,1,Driver,22,18-29,30,M,Male,0,0,Black/African American,Black/African American,No,"None,",0,NULL,NULL,NULL,Yes,0,0,"Person removed from vehicle by order,Curbside detention,","Vehicle impounded,",NULL,NULL,No,NULL,No,NULL,0,No,2085008,15,"Vehicle impounded,",No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Citation for infraction - Offense(s) required,In-field cite and release - Offense(s) required,",Arrest,NULL,3/6/21,-01WCFUCQH1ZXE,01WCFUCQH1ZXE,01WCFUCQH1ZXE-1
3/6/21,15:00.0,LOP210306001023,NULL,Non-Dispatch,Vehicle,34X,BFO 2,Area 5,9200,International Boulevard,No,Yes,Traffic violation,NULL,Traffic Violation,21453(A)-VC-FAIL STOP LINE/ETC AT RED-I,Moving violation,21453(A)-VC-FAIL STOP LINE/ETC AT RED-I,1,Driver,30,30-39,30,F,Female,0,0,Black/African American,Black/African American,No,"None,",0,NULL,NULL,NULL,Yes,0,1,"Person removed from vehicle by order,Curbside detention,Handcuffed or flex cuffed,",NULL,NULL,NULL,No,NULL,No,NULL,0,Yes,2145434,20,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Warning (verbal or written) - Offense(s) required,In-field cite and release - Offense(s) required,",Arrest,NULL,3/7/21,801WCFXVDR57M8,801WCFXVDR57M8,801WCFXVDR57M8-1
3/6/21,23:00.0,LOP210306000688,21-010463,Non-Dispatch,Vehicle,27X,BFO 2,Area 4,4200,International Boulevard,Yes,Yes,Traffic violation,NULL,Traffic Violation,5200(A)-VC-DISPLAY LIC PLATES WRONG-I,Equipment violation,5200(A)-VC-DISPLAY LIC PLATES WRONG-I,1,Driver,31,30-39,30,M,Male,0,0,Hispanic,Hispanic/Latino(a),Yes,"None,",0,NULL,NULL,NULL,No,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,NULL,10,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Warning (verbal or written) - Offense(s) required,",Warning,NULL,3/7/21,LPRWCFRR4IV3Z6,LPRWCFRR4IV3Z6,LPRWCFRR4IV3Z6-1
3/6/21,58:00.0,LOP210305001112,NULL,Non-Dispatch,Vehicle,18Y,BFO 1,Area 3,2200,San Antonio Way,Yes,Yes,Traffic violation,NULL,Traffic Violation,24250-VC-DRIVE WITHOUT LIGHTS:DARK-I,Moving violation,24250-VC-DRIVE WITHOUT LIGHTS:DARK-I,1,Driver,32,30-39,20,M,Male,0,0,Black/African American,Black/African American,No,"None,",0,NULL,NULL,NULL,Yes,0,0,"Person removed from vehicle by order,Curbside detention,",NULL,NULL,NULL,No,NULL,No,NULL,0,No,NULL,30,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Warning (verbal or written) - Offense(s) required,",Warning,NULL,3/7/21,LPRWCFAMEM6567,LPRWCFAMEM6567,LPRWCFAMEM6567-1
3/7/21,18:00.0,LOP210307000869,NULL,Non-Dispatch,Vehicle,03Y,BFO 1,Area 1,500,12th Street ,Yes,Yes,Traffic violation,NULL,Traffic Violation,5200(A)-VC-DISPLAY LIC PLATES WRONG-I,"Non-moving violation, including registration",5200(A)-VC-DISPLAY LIC PLATES WRONG-I,1,Driver,27,18-29,25,M,Male,0,0,Black/African American,Black/African American,No,"None,",0,NULL,NULL,NULL,Yes,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,NULL,10,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Warning (verbal or written) - Offense(s) required,",Warning,NULL,3/8/21,552WCGTK3CR4CW,552WCGTK3CR4CW,552WCGTK3CR4CW-1
3/7/21,35:00.0,LOP210307000052,21-010600,Non-Dispatch,Vehicle,10Y,BFO 1,Area 2,800,43rd Street,Yes,Yes,Traffic violation,NULL,Traffic Violation,27315-VC-SEATBELT VIOLATION-I,Moving violation,27315-VC-SEATBELT VIOLATION-I,1,Driver,20,18-29,20,M,Male,0,0,Hispanic,Hispanic/Latino(a),Yes,"None,",0,NULL,NULL,NULL,No,0,0,"Person removed from vehicle by order,Handcuffed or flex cuffed,Patrol car detention,","Search of person conducted,Search of property conducted,Property seized,",NULL,NULL,Yes,No,No,NULL,0,Yes,NULL,30,"Search of person conducted,Search of property conducted,Property seized,",Yes,Person and Property,"Suspected weapons,Officer safety/safety of others,",Discretionary Search,"Firearm(s),Ammunition,Drugs/narcotics,",Yes,"Evidence,",Yes,"Firearms,Ammunition,Drugs/narcotics,","Field Interview card completed,Warning (verbal or written) - Offense(s) required,Custodial arrest without warrant - Offense(s) required,",Arrest,NULL,3/22/21,866WCGCEKYR68A,866WCGCEKYR68A,866WCGCEKYR68A-1
3/7/21,35:00.0,LOP210307000052,21-010600,Non-Dispatch,Vehicle,10Y,BFO 1,Area 2,800,43rd Street,Yes,Yes,Traffic violation,NULL,Traffic Violation,27315-VC-SEATBELT VIOLATION-I,Moving violation,27315-VC-SEATBELT VIOLATION-I,2,Passenger,19,18-29,19,M,Male,0,0,Hispanic,Hispanic/Latino(a),Yes,"None,",0,NULL,NULL,NULL,No,0,1,"Person removed from vehicle by order,Patrol car detention,","Search of person conducted,",NULL,NULL,Yes,Yes,No,NULL,0,No,NULL,30,"Search of person conducted,",Yes,Person,"Consent given,Officer safety/safety of others,",Discretionary Search,"None,",No,NULL,No,NULL,"Field Interview card completed,",No Action,NULL,3/22/21,866WCGCEKYR68A,866WCGCEKYR68A,866WCGCEKYR68A-2
3/7/21,35:00.0,LOP210307000052,21-010600,Non-Dispatch,Vehicle,10Y,BFO 1,Area 2,800,43rd Street,Yes,Yes,Traffic violation,NULL,Traffic Violation,27315-VC-SEATBELT VIOLATION-I,Moving violation,27315-VC-SEATBELT VIOLATION-I,3,Passenger,19,18-29,19,M,Male,0,0,Hispanic,Hispanic/Latino(a),Yes,"None,",0,NULL,NULL,NULL,Yes,0,0,"Person removed from vehicle by order,Patrol car detention,","Search of person conducted,",NULL,NULL,No,NULL,No,NULL,0,No,NULL,30,"Search of person conducted,",Yes,Person,"Officer safety/safety of others,",Discretionary Search,"None,",No,NULL,No,NULL,"Field Interview card completed,Warning (verbal or written) - Offense(s) required,",Warning,NULL,3/22/21,866WCGCEKYR68A,866WCGCEKYR68A,866WCGCEKYR68A-3
3/7/21,35:00.0,LOP210307000052,21-010600,Non-Dispatch,Vehicle,10Y,BFO 1,Area 2,800,43rd Street,Yes,Yes,Traffic violation,NULL,Traffic Violation,27315-VC-SEATBELT VIOLATION-I,Moving violation,27315-VC-SEATBELT VIOLATION-I,4,Passenger,19,18-29,19,M,Male,0,0,Hispanic,Hispanic/Latino(a),Yes,"None,",0,NULL,NULL,NULL,No,0,1,"Person removed from vehicle by order,Patrol car detention,","Search of person conducted,",NULL,NULL,No,NULL,No,NULL,0,No,NULL,30,"Search of person conducted,",Yes,Person,"Suspected weapons,Officer safety/safety of others,",Discretionary Search,"None,",No,NULL,No,NULL,"Field Interview card completed,",No Action,NULL,3/22/21,866WCGCEKYR68A,866WCGCEKYR68A,866WCGCEKYR68A-4
3/7/21,35:00.0,LOP210307000052,21-010600,Non-Dispatch,Vehicle,10Y,BFO 1,Area 2,800,43rd Street,Yes,Yes,Traffic violation,NULL,Traffic Violation,27315-VC-SEATBELT VIOLATION-I,Moving violation,27315-VC-SEATBELT VIOLATION-I,5,Passenger,18,18-29,18,M,Male,0,0,Hispanic,Hispanic/Latino(a),Yes,"None,",0,NULL,NULL,NULL,No,0,0,"Patrol car detention,","Search of person conducted,",NULL,NULL,Yes,Yes,No,NULL,0,No,NULL,30,"Search of person conducted,",Yes,Person,"Consent given,Officer safety/safety of others,",Discretionary Search,"None,",No,NULL,No,NULL,"Field Interview card completed,",No Action,NULL,3/22/21,866WCGCEKYR68A,866WCGCEKYR68A,866WCGCEKYR68A-5
3/7/21,04:00.0,LOP210307000909,NULL,Non-Dispatch,Vehicle,12Y,BFO 1,Area 2,6000,College Avenue,No,Yes,Traffic violation,NULL,Traffic Violation,21651(A)-VC-DIV HWY:CROSS/U TURN VIOL-I,Moving violation,21651(A)-VC-DIV HWY:CROSS/U TURN VIOL-I,1,Driver,23,18-29,22,M,Male,0,0,Other,Asian,No,"None,",0,NULL,NULL,NULL,No,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,NULL,20,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Warning (verbal or written) - Offense(s) required,",Warning,NULL,3/7/21,845WCGUKGXBP8Z,845WCGUKGXBP8Z,845WCGUKGXBP8Z-1
3/7/21,34:00.0,LOP210307000998,NULL,Non-Dispatch,Vehicle,23X,BFO 2,Area 4,4100,Foothill Boulevard,No,Yes,Traffic violation,NULL,Traffic Violation,21453(A)-VC-FAIL STOP LINE/ETC AT RED-I,Moving violation,21453(A)-VC-FAIL STOP LINE/ETC AT RED-I,1,Driver,24,18-29,20,F,Female,0,0,Black/African American,Black/African American,No,"None,",0,NULL,NULL,NULL,Yes,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,2077501,10,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Warning (verbal or written) - Offense(s) required,Citation for infraction - Offense(s) required,",Citation,NULL,3/8/21,861WCGV1BMRHJ7,861WCGV1BMRHJ7,861WCGV1BMRHJ7-1
3/7/21,44:00.0,LOP210307000839,21-010701,Non-Dispatch,Vehicle,99X,Outside,Outside,1000,San Pablo Avenue,Yes,Yes,Traffic violation,NULL,Traffic Violation,23103-VC-RECKLESS DRIVING-M,Moving violation,23103-VC-RECKLESS DRIVING-M,1,Driver,24,18-29,25,M,Male,0,0,Hispanic,Hispanic/Latino(a),Yes,"None,",0,NULL,NULL,NULL,No,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,NULL,1,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,",No Action,NULL,7/15/21,531WCGS13X9C2J,531WCGS13X9C2J,531WCGS13X9C2J-1
3/7/21,06:00.0,LOP210307001085,21-010746,Non-Dispatch,Vehicle,05X,BFO 1,Area 1,1200,W Grand Avenue,No,Yes,Traffic violation,NULL,Traffic Violation,24252(A)-VC-FAIL MAINT VEH LITE EQUIP-I,Equipment violation,24252(A)-VC-FAIL MAINT VEH LITE EQUIP-I,1,Driver,18,18-29,18,M,Male,0,0,Black/African American,Black/African American,No,"None,",0,NULL,NULL,NULL,No,0,0,"Person removed from vehicle by physical contact,","Search of person conducted,","Other physical or vehicle contact,",NULL,No,NULL,No,NULL,0,No,NULL,15,"Search of person conducted,",Yes,Person,"Officer safety/safety of others,Incident to arrest,",Discretionary Search,"None,",No,NULL,No,NULL,"Field Interview card completed,Custodial arrest without warrant - Offense(s) required,",Arrest,"Other physical or vehicle contact,",3/8/21,486WCGXZXA7OOO,486WCGXZXA7OOO,486WCGXZXA7OOO-1
3/7/21,02:00.0,LOP210307000054,NULL,Non-Dispatch,Vehicle,04X,BFO 1,Area 1,1500,Webster Street,No,Yes,Traffic violation,NULL,Traffic Violation,21453(A)-VC-FAIL STOP LINE/ETC AT RED-I,Moving violation,21453(A)-VC-FAIL STOP LINE/ETC AT RED-I,1,Driver,27,18-29,25,M,Male,0,0,White,White,No,"None,",0,NULL,NULL,NULL,Unknown,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,NULL,10,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Warning (verbal or written) - Offense(s) required,",Warning,NULL,3/7/21,LPRWCGAGUO5I3T,LPRWCGAGUO5I3T,LPRWCGAGUO5I3T-1
3/8/21,25:00.0,LOP210308001087,21-010920,Non-Dispatch,Vehicle,09X,BFO 1,Area 2,3700,Piedmont Avenue,No,Yes,Traffic violation,NULL,Traffic Violation,22450(A)-VC-FAIL STOP VEH:XWALK/ETC-I,Moving violation,22450(A)-VC-FAIL STOP VEH:XWALK/ETC-I,1,Driver,34,30-39,35,F,Female,0,0,Black/African American,Black/African American,No,"None,",0,NULL,NULL,NULL,Yes,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,NULL,5,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Warning (verbal or written) - Offense(s) required,",Warning,NULL,3/13/21,447WCHXP3KWRML,447WCHXP3KWRML,447WCHXP3KWRML-1
3/8/21,20:00.0,LOP210308000850,NULL,Non-Dispatch,Vehicle,04X,BFO 1,Area 1,800,W Grand Avenue,No,Yes,Traffic violation,NULL,Traffic Violation,21453(A)-VC-FAIL STOP LINE/ETC AT RED-I,Moving violation,21453(A)-VC-FAIL STOP LINE/ETC AT RED-I,1,Driver,39,30-39,40,M,Male,0,0,Hispanic,Hispanic/Latino(a),No,"None,",0,NULL,NULL,NULL,No,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,2053026,10,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Warning (verbal or written) - Offense(s) required,Citation for infraction - Offense(s) required,",Citation,NULL,4/11/21,LPRWCHXZIO27EQ,LPRWCHXZIO27EQ,LPRWCHXZIO27EQ-1
3/9/21,28:00.0,LOP210309000040,NULL,Non-Dispatch,Vehicle,32Y,BFO 2,Area 5,10600,MacArthur Boulevard,No,Yes,Traffic violation,NULL,Traffic Violation,21453(A)-VC-FAIL STOP LINE/ETC AT RED-I,Moving violation,21453(A)-VC-FAIL STOP LINE/ETC AT RED-I,1,Driver,26,18-29,20,M,Male,0,0,Black/African American,Black/African American,No,"None,",0,NULL,NULL,NULL,Yes,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,2042255,20,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Citation for infraction - Offense(s) required,",Citation,NULL,3/9/21,883WCIA1Q4WUD4,883WCIA1Q4WUD4,883WCIA1Q4WUD4-1
3/9/21,28:00.0,LOP210309000040,NULL,Non-Dispatch,Vehicle,32Y,BFO 2,Area 5,10600,MacArthur Boulevard,No,Yes,Traffic violation,NULL,Traffic Violation,21453(A)-VC-FAIL STOP LINE/ETC AT RED-I,Moving violation,21453(A)-VC-FAIL STOP LINE/ETC AT RED-I,2,Passenger,27,18-29,20,F,Female,0,0,Black/African American,Black/African American,No,"None,",0,NULL,NULL,NULL,Yes,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,2118957,20,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Citation for infraction - Offense(s) required,",Citation,NULL,3/9/21,883WCIA1Q4WUD4,883WCIA1Q4WUD4,883WCIA1Q4WUD4-2
3/9/21,02:00.0,LOP210309000100,NULL,Non-Dispatch,Vehicle,32X,BFO 2,Area 5,100,Royal Ann Street,No,Yes,Traffic violation,NULL,Traffic Violation,22350-VC-UNSAFE SPEED:PREVAIL COND-I,Moving violation,22350-VC-UNSAFE SPEED:PREVAIL COND-I,1,Driver,27,18-29,25,M,Male,0,0,Other,Middle Eastern or South Asian,No,"None,",0,NULL,NULL,NULL,No,0,0,NULL,NULL,NULL,NULL,No,NULL,No,NULL,0,NULL,NULL,15,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Warning (verbal or written) - Offense(s) required,",Warning,NULL,3/15/21,844WCIEVDH3EOY,844WCIEVDH3EOY,844WCIEVDH3EOY-1
