Date,Time,Street,Cross Street,Source of Call,Total OnScene Time,Stop - K-12?,Stop - School Code,Stop - Officer Assignment,Stop - Reason For,Stop - Suspicion Types,Stop - Violation Type,Stop - Perc Race,Stop - Perc Disabilities,Stop - Perc Gender,Stop - Perc LGBT?,Stop - Limited English?,Stop - Perc Age,Stop - Actions Taken,Stop - Search Basis,Stop - Evidence Discovered,Stop - Seized Property Basis,Stop - Seized Property Type,Stop - Result,Stop - Citation Code 1,Stop - Citation Desc 1,Stop - Custodial Code 1,Stop - Custodial Desc 1,Stop - Cite/Release Code 1,Stop - Cite/Release Desc 1,Stop - Warning Code 1,Stop - Warning Desc 1,Stop - Educ Section,Stop - Educ Subdivision
2/11/20,09:43:23,SYCAMORE LN,W 8TH ST,O,2,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,White,None,Male,F,F,20,None,,,,,Warning (verbal or written),,,,,,,22450(A) VC,FAIL STOP VEH:XWALK/ETC - I,,
2/11/20,18:40:48,L ST,5TH ST/DUKE DR,O,30,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Matched suspect description,,White,None,Male,F,F,25,None,,,,,Warning (verbal or written),,,,,,,602 PC,TRESPASSING - M,,
2/11/20,20:28:05,OLIVE DR,RICHARDS BL/HICKORY LN,O,13,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,Hispanic/Latino,None,Male,F,F,35,"Handcuffed or flex cuffed, Patrol car detention",,,,,Warning (verbal or written),,,,,,,148(A)(1) PC,OBSTRUCT/ETC PUB OFCR/ETC - M,,
2/11/20,22:58:42,F ST,1ST ST,O,0,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Hispanic/Latino,None,Male,F,F,40,None,,,,,Warning (verbal or written),,,,,,,22450(A) VC,FAIL STOP VEH:XWALK/ETC - I,,
2/11/20,11:49:23,ANDERSON RD,RUTGERS DR/VILLANOVA DR,O,17,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Middle Eastern or South Asian,None,Male,F,F,19,None,,,,,Citation for infraction,22350 VC,UNSAFE SPEED:PREVAIL COND - I,,,,,,,,
2/11/20,09:47:43,SYCAMORE LN,W 8TH ST,O,7,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Asian,None,Male,F,F,22,None,,,,,Warning (verbal or written),,,,,,,22450(A) VC,FAIL STOP VEH:XWALK/ETC - I,,
2/11/20,12:36:56,L ST,E COVELL BL,O,10,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,"Non-moving violation, including registration",Asian,None,Male,F,F,25,None,,,,,Citation for infraction,4000(A)(1) VC,NO REG:VEH/TRAILER/ETC - I,,,,,,,,
2/11/20,17:15:38,CHESTNUT LN,DREXEL DR/POLE LINE RD,O,5,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,White,None,Male,F,F,35,None,,,,,Warning (verbal or written),,,,,,,24252(A) VC,FAIL MAINT VEH LITE EQUIP - I,,
2/11/20,08:44:45,W 8TH ST,HAWTHORNE LN,O,8,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,White,None,Female,F,F,65,None,,,,,Warning (verbal or written),,,,,,,22450(A) VC,FAIL STOP VEH:XWALK/ETC - I,,
2/11/20,08:58:33,W 8TH ST,HAWTHORNE LN,O,3,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,White,None,Male,F,F,39,None,,,,,Warning (verbal or written),,,,,,,22450(A) VC,FAIL STOP VEH:XWALK/ETC - I,,
2/11/20,10:11:02,BOSTON TR,ASHLAND TR,O,7,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Asian,None,Male,F,F,30,None,,,,,Warning (verbal or written),,,,,,,22450(A) VC,FAIL STOP VEH:XWALK/ETC - I,,
2/12/20,00:09:09,OLIVE DR,RICHARDS BL/HICKORY LN,O,6,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,White,None,Male,F,F,45,None,,,,,Warning (verbal or written),,,,,,,24252(A) VC,FAIL MAINT VEH LITE EQUIP - I,,
2/12/20,11:24:54,1ST ST,F ST,O,0,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Asian,None,Male,F,F,20,None,,,,,Warning (verbal or written),,,,,,,22450(A) VC,FAIL STOP VEH:XWALK/ETC - I,,
2/12/20,10:49:33,2ND ST,PENA DR,O,10,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,White,None,Female,F,F,40,None,,,,,Citation for infraction,23123(A) VC,USE CELLPH W/DRIV W/O HFD - I,,,,,,,,
2/12/20,08:36:25,3RD ST,G ST,O,2,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,White,None,Male,F,F,20,None,,,,,Warning (verbal or written),,,,,,,22450(A) VC,FAIL STOP VEH:XWALK/ETC - I,,
2/12/20,11:02:38,CANTRILL DR,2ND ST/5TH ST,O,12,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,"Non-moving violation, including registration",Hispanic/Latino,None,Male,F,F,24,None,,,,,Citation for infraction,4000(A)(1) VC,NO REG:VEH/TRAILER/ETC - I,,,,,,,,
2/12/20,17:09:33,I 80 E,MACE BL,O,141,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,Black/African American,None,Male,F,F,35,"Handcuffed or flex cuffed, Patrol car detention, Search of property was conducted",Condition of parole/probation/PRCS/mandatory supervision,None,,,Warning (verbal or written),,,,,,,28071 VC,VEHICLE BUMPER VIOLATION - I,,
2/12/20,17:09:33,I 80 E,MACE BL,O,141,F,,"Patrol, traffic enforcement, field operations",Traffic violation,Officer witnessed commission of a crime,Equipment violation,Black/African American,None,Male,F,F,60,"Handcuffed or flex cuffed, Other physical or vehicle contact, Patrol car detention, Search of person was conducted",Incident to arrest,Alcohol,,,Custodial arrest without warrant,,,647(F) PC,DISORD CONDUCT:UI/DRUG - M,,,,,,
2/12/20,11:09:03,ANDERSON RD,RUTGERS DR,O,10,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Hispanic/Latino,None,Male,F,F,23,None,,,,,Citation for infraction,22350 VC,UNSAFE SPEED:PREVAIL COND - I,,,,,,,,
2/12/20,10:50:29,ANDERSON RD,RUTGERS DR,O,14,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Asian,None,Female,F,F,26,None,,,,,Citation for infraction,22350 VC,UNSAFE SPEED:PREVAIL COND - I,,,,,,,,
2/12/20,22:19:16,CHILES RD,MACE BL/EL CEMONTE AV,O,11,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,"Non-moving violation, including registration",Black/African American,None,Male,F,F,35,None,,,,,Warning (verbal or written),,,,,,,4000(A)(1) VC,NO REG:VEH/TRAILER/ETC - I,,
2/12/20,04:11:55,I ST,4TH ST/5TH ST,W,222,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,"Other reasonable suspicion of a crime, Witness or victim identification of suspect at the scene",,Hispanic/Latino,None,Male,F,F,21,"Handcuffed or flex cuffed, Search of person was conducted",Incident to arrest,None,,,Custodial arrest without warrant,,,243(E)(1) PC,BAT:SPOUSE/EX SP/DATE/ETC - M,,,,,,
2/12/20,14:48:09,DA VINCI CT,,O,10,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,White,None,Male,F,F,18,None,,,,,Citation for infraction,23123.5 VC,NO HND HLD DEVICE W/DRIVE - I,,,,,,,,
2/12/20,10:25:54,2ND ST,KENDALL WY/POLE LINE RD,O,7,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Asian,None,Female,F,F,25,None,,,,,Citation for infraction,22450(A) VC,FAIL STOP VEH:XWALK/ETC - I,,,,,,,,
2/12/20,22:18:08,RESEARCH PARK DR,RICHARDS BL/COWELL BL (CHEVRON),O,92,F,,"Patrol, traffic enforcement, field operations",Consensual encounter resulting in search,,,Black/African American,None,Male,F,F,21,"Handcuffed or flex cuffed, Impact projectile discharged or used (e.g., blunt impact projectile, rubber bullets or bean bags, Property was seized, Search of person was conducted, Search of property was conducted",Incident to arrest,"Drug paraphernalia, Drugs/narcotics",Contraband,"Drug paraphernalia, Drugs/narcotics",Custodial arrest without warrant,,,11350(A) HS,POSSESS NARCOTIC CNTL SUB - F,,,,,,
2/12/20,10:33:22,K ST,3RD ST/4TH ST,O,12,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,"Non-moving violation, including registration",White,None,Male,F,F,35,None,,,,,Citation for infraction,4000(A)(1) VC,NO REG:VEH/TRAILER/ETC - I,,,,,,,,
2/12/20,08:48:44,3RD ST,G ST,O,1,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,White,None,Female,F,F,18,None,,,,,Warning (verbal or written),,,,,,,22450(A) VC,FAIL STOP VEH:XWALK/ETC - I,,
2/12/20,11:01:25,F ST,E 8TH ST,O,7,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,Black/African American,None,Male,F,F,65,None,,,,,Warning (verbal or written),,,,,,,24603 VC,STOPLAMP VIOLATIONS - I,,
2/12/20,08:38:29,3RD ST,G ST,O,2,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Asian,None,Female,F,F,18,None,,,,,Warning (verbal or written),,,,,,,22450(A) VC,FAIL STOP VEH:XWALK/ETC - I,,
2/12/20,08:42:00,EMERALD BAY DR,DANBURY ST,O,12,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Hispanic/Latino,None,Male,F,F,35,None,,,,,Citation for infraction,26710 VC,DEFECTIVE WINDSHIELD/ETC - I,,,,,,,,
2/12/20,08:36:40,W COVELL BL,LAKE BL,O,4,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,White,None,Male,F,F,45,None,,,,,Warning (verbal or written),,,,,,,22450(A) VC,FAIL STOP VEH:XWALK/ETC - I,,
2/12/20,11:45:07,5TH ST,CANTRILL DR/SAN RAFAEL ST,T,44,F,,"Patrol, traffic enforcement, field operations",Knowledge of outstanding arrest warrant/wanted person,,,White,None,Female,F,F,35,None,,,,,Custodial arrest pursuant to outstanding warrant,,,,,,,,,,
2/12/20,08:43:19,3RD ST,G ST,O,4,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,White,None,Female,F,F,18,None,,,,,Warning (verbal or written),,,,,,,22450(A) VC,FAIL STOP VEH:XWALK/ETC - I,,
2/12/20,14:29:45,CR32A,MACE BL/MACE BL,O,32,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,White,None,Male,F,F,30,"Search of person was conducted, Search of property was conducted",Condition of parole/probation/PRCS/mandatory supervision,None,,,No action,,,,,,,,,,
2/12/20,17:03:20,5TH ST,L ST/POLE LINE RD,O,21,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,"Non-moving violation, including registration",White,None,Female,F,F,30,None,,,,,Citation for infraction,4000(A)(1) VC,NO REG:VEH/TRAILER/ETC - I,,,,,,,,
2/12/20,22:18:08,RESEARCH PARK DR,RICHARDS BL/COWELL BL (CHEVRON),O,92,F,,"Patrol, traffic enforcement, field operations",Consensual encounter resulting in search,,,White,None,Male,F,F,21,"Handcuffed or flex cuffed, Patrol car detention, Property was seized, Search of person was conducted, Search of property was conducted",Incident to arrest,"Drug paraphernalia, Drugs/narcotics",Evidence,"Drug paraphernalia, Drugs/narcotics",Custodial arrest without warrant,,,11350(A) HS,POSSESS NARCOTIC CNTL SUB - F,,,,,,
2/12/20,08:45:44,W COVELL BL,LAKE BL,O,8,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Hispanic/Latino,None,Male,F,F,40,None,,,,,Warning (verbal or written),,,,,,,22450(A) VC,FAIL STOP VEH:XWALK/ETC - I,,
2/12/20,11:33:39,E 14TH ST,B ST/SEQUOIA PL,O,1,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,"Asian, White",None,Female,F,F,30,None,,,,,Warning (verbal or written),,,,,,,22450(A) VC,FAIL STOP VEH:XWALK/ETC - I,,
2/12/20,08:27:19,F ST,E 14TH ST,O,19,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Hispanic/Latino,None,Female,F,F,31,None,,,,,Citation for infraction,14601(A) VC,DRIV:SUSP/ETC LIC:RECKLES - M,,,,,,,,
2/12/20,16:26:47,5TH ST,F ST,O,8,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Asian,None,Male,F,F,22,None,,,,,Citation for infraction,23123.5 VC,NO HND HLD DEVICE W/DRIVE - I,,,,,,,,
2/13/20,22:34:02,DREXEL DR,J ST,O,3,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Middle Eastern or South Asian,None,Male,F,F,20,None,,,,,Warning (verbal or written),,,,,,,22350 VC,UNSAFE SPEED:PREVAIL COND - I,,
2/13/20,15:19:00,2ND ST,PENA DR/COUSTEAU PL,O,14,F,,"Patrol, traffic enforcement, field operations",Consensual encounter resulting in search,,,Hispanic/Latino,None,Male,F,F,40,"Asked for consent to search person, Asked for consent to search property, Search of person was conducted, Search of property was conducted",Consent given,None,,,No action,,,,,,,,,,
2/13/20,12:58:21,E 14TH ST,B ST/SEQUOIA PL,O,17,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,White,None,Female,F,F,60,None,,,,,Warning (verbal or written),,,,,,,22450(A) VC,FAIL STOP VEH:XWALK/ETC - I,,
2/13/20,15:38:46,COWELL BL,DREW AV,O,2,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Hispanic/Latino,None,Female,F,F,30,None,,,,,Warning (verbal or written),,,,,,,22101(D) VC,FAIL TO OBEY TURN SIGNS - I,,
2/13/20,11:56:47,ANDERSON RD,RUTGERS DR/VILLANOVA DR,O,18,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Asian,None,Female,F,F,20,None,,,,,Citation for infraction,22350 VC,UNSAFE SPEED:PREVAIL COND - I,,,,,,,,
2/13/20,01:43:21,SYCAMORE LN,RUSSELL BL/HAWTHORNE LN,W,101,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Matched suspect description,,Hispanic/Latino,None,Male,F,F,25,"Handcuffed or flex cuffed, Search of person was conducted",Incident to arrest,None,,,Custodial arrest without warrant,,,647(F) PC,DISORD CONDUCT:ALCOHOL - M,,,,,,
2/13/20,14:46:47,SYCAMORE LN,STANFORD DR,O,7,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,White,None,Male,F,F,38,None,,,,,Warning (verbal or written),,,,,,,22450(A) VC,FAIL STOP VEH:XWALK/ETC - I,,
2/13/20,10:48:22,RICHARDS BL,I 80 W,O,7,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,"Asian, Black/African American, Hispanic/Latino, White",None,Male,F,F,45,None,,,,,Warning (verbal or written),,,,,,,5200(A) VC,DISPLAY LIC PLATES WRONG - I,,
2/13/20,16:33:41,POLE LINE RD,MADRONE LN,O,8,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,"Non-moving violation, including registration",White,None,Male,F,F,45,None,,,,,Warning (verbal or written),,,,,,,4000(A)(1) VC,NO REG:VEH/TRAILER/ETC - I,,
2/13/20,12:36:45,RADCLIFFE DR,APPLE LN/WILLOW LN,O,18,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Asian,None,Female,F,F,50,None,,,,,Citation for infraction,22350 VC,UNSAFE SPEED:PREVAIL COND - I,,,,,,,,
2/13/20,10:41:43,1ST ST,A ST,O,8,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,White,None,Male,F,F,24,None,,,,,Citation for infraction,22450(A) VC,FAIL STOP VEH:XWALK/ETC - I,,,,,,,,
2/13/20,12:15:38,VILLANOVA DR,ANDERSON RD,O,21,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,White,None,Male,F,F,17,None,,,,,Citation for infraction,22350 VC,UNSAFE SPEED:PREVAIL COND - I,,,,,,,,
2/13/20,12:08:31,C ST,3RD ST/4TH ST,T,288,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,"Matched suspect description, Other reasonable suspicion of a crime, Witness or victim identification of suspect at the scene",,Black/African American,Mental health condition,Male,F,F,40,"Handcuffed or flex cuffed, Search of person was conducted, Search of property was conducted","Condition of parole/probation/PRCS/mandatory supervision, Incident to arrest, Officer safety/safety of others",Drugs/narcotics,,,Custodial arrest without warrant,,,166(A)(4) PC,CONTEMPT:DISOBEY CRT ORDR - M,,,,,,
2/13/20,14:36:15,SYCAMORE LN,W 8TH ST,O,3,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,White,None,Female,F,F,40,None,,,,,Warning (verbal or written),,,,,,,22450(A) VC,FAIL STOP VEH:XWALK/ETC - I,,
2/13/20,14:11:02,J ST,E COVELL BL,O,11,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,"Non-moving violation, including registration",White,None,Male,F,F,55,None,,,,,Citation for infraction,4000(A)(1) VC,NO REG:VEH/TRAILER/ETC - I,,,,,,,,
2/13/20,11:24:37,B ST,1ST ST,O,8,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Asian,None,Male,F,F,24,None,,,,,Citation for infraction,22450(A) VC,FAIL STOP VEH:XWALK/ETC - I,,,,,,,,
2/13/20,11:39:34,F ST,2ND ST,O,7,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,White,None,Male,F,F,60,None,,,,,Warning (verbal or written),,,,,,,22107 VC,UNSAF TURN &/OR NO SIGNAL - I,,
2/13/20,16:57:12,CHILES RD,MACE BL/EL CEMONTE AV,O,128,F,,"Patrol, traffic enforcement, field operations",Knowledge of outstanding arrest warrant/wanted person,,,Hispanic/Latino,None,Male,F,F,30,"Handcuffed or flex cuffed, Patrol car detention, Property was seized, Search of person was conducted, Search of property was conducted",Condition of parole/probation/PRCS/mandatory supervision,"Drug paraphernalia, Drugs/narcotics",Contraband,"Drug paraphernalia, Drugs/narcotics",Custodial arrest pursuant to outstanding warrant,,,,,,,,,,
2/14/20,22:30:43,RUSSELL BL,S CAMPUS WY,O,4,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,Middle Eastern or South Asian,None,Male,F,F,28,None,,,,,Warning (verbal or written),,,,,,,24600 VC,TAILLAMP VIOLATIONS - I,,
2/14/20,15:59:50,ANDERSON RD,HANOVER DR/W COVELL BL,O,5,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,White,None,Female,F,F,35,None,,,,,Warning (verbal or written),,,,,,,21209 VC,MOTOR VEH IN BIKE LANE - I,,
2/14/20,22:07:11,W COVELL BL,ANDERSON RD,O,11,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,Middle Eastern or South Asian,None,Male,F,F,25,None,,,,,Citation for infraction,24600 VC,TAILLAMP VIOLATIONS - I,,,,,,,,
2/14/20,11:45:12,E 8TH ST,B ST/D ST,W,436,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,Black/African American,None,Female,F,F,22,"Handcuffed or flex cuffed, Search of person was conducted","Evidence of crime, Incident to arrest",None,,,In-field cite and release,,,242 PC,BATTERY - M,242 PC,BATTERY - M,,,,
2/14/20,11:19:37,E 8TH ST,A ST,O,14,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,"Non-moving violation, including registration",White,None,Male,F,F,22,None,,,,,Citation for infraction,4000(A)(1) VC,NO REG:VEH/TRAILER/ETC - I,,,,,,,,
2/14/20,23:18:26,F ST,E 8TH ST,O,5,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,Black/African American,None,Female,F,F,30,None,,,,,Warning (verbal or written),,,,,,,24400 VC,HEADLAMP:OPR/AMT/SIZE:VIO - I,,
2/14/20,23:38:28,COWELL BL,RESEARCH PARK DR (CHEVER,O,6,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,White,None,Female,F,F,21,None,,,,,Warning (verbal or written),,,,,,,24400 VC,HEADLAMP:OPR/AMT/SIZE:VIO - I,,
2/14/20,11:45:12,E 8TH ST,B ST/D ST,W,436,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,Black/African American,None,Male,F,F,27,"Handcuffed or flex cuffed, Search of person was conducted",Incident to arrest,None,,,Custodial arrest pursuant to outstanding warrant,,,,,,,,,,
2/14/20,23:28:32,RICHARDS BL,OLIVE DR,O,4,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,White,None,Male,F,F,50,None,,,,,Warning (verbal or written),,,,,,,24603 VC,STOPLAMP VIOLATIONS - I,,
2/14/20,20:37:08,5TH ST,E ST,O,21,F,,Roadblock or DUI sobriety checkpoint,Traffic violation,,"Non-moving violation, including registration",White,None,Female,F,F,50,None,,,,,Citation for infraction,12500(A) VC,DRIVE W/O LICENSE - M,,,,,,,,
2/14/20,22:53:56,F ST,7TH ST,O,14,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,"Non-moving violation, including registration",Hispanic/Latino,None,Female,F,F,23,None,,,,,Citation for infraction,12500(A) VC,DRIVE W/O LICENSE - M,,,,,,,,
2/15/20,00:53:09,E ST,3RD ST,O,4,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,White,None,Female,F,F,28,None,,,,,Warning (verbal or written),,,,,,,24600 VC,TAILLAMP VIOLATIONS - I,,
2/15/20,02:46:43,W COVELL BL,SR113,O,4,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,Hispanic/Latino,None,Male,F,F,45,None,,,,,Warning (verbal or written),,,,,,,24400 VC,HEADLAMP:OPR/AMT/SIZE:VIO - I,,
2/15/20,22:26:06,RESEARCH PARK DR,RICHARDS BL,O,24,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,"Non-moving violation, including registration",Black/African American,None,Female,F,F,40,None,,,,,Citation for infraction,14601.1(A) VC,DRIVE:LIC SUSPENDED/ETC - M,,,,,,,,
2/15/20,02:53:17,ALVARADO AV,SYCAMORE LN,O,5,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Asian,None,Female,F,F,25,None,,,,,Warning (verbal or written),,,,,,,21453(C) VC,FAIL STOP LINE/ETC AT RED - I,,
2/15/20,00:21:12,5TH ST,C ST,O,6,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,Hispanic/Latino,None,Male,F,F,20,None,,,,,Warning (verbal or written),,,,,,,24601 VC,FAIL MAINT LIC PLATE LAMP - I,,
2/15/20,03:08:29,E ST,1ST ST,O,145,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Asian,None,Male,F,F,18,"Curbside detention, Field sobriety test conducted, Handcuffed or flex cuffed, Patrol car detention, Property was seized, Search of person was conducted",Incident to arrest,Other contraband or evidence,Evidence,Other contraband or evidence,Custodial arrest without warrant,,,23152(A) VC,DUI ALCOHOL - M,,,,,,
2/15/20,21:38:00,LA RUE RD,RUSSELL BL,O,7,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,White,None,Female,F,F,21,None,,,,,Warning (verbal or written),,,,,,,24400 VC,HEADLAMP:OPR/AMT/SIZE:VIO - I,,
2/15/20,02:29:16,E ST,1ST ST,O,4,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Middle Eastern or South Asian,None,Male,F,F,55,None,,,,,Warning (verbal or written),,,,,,,22450(A) VC,FAIL STOP VEH:XWALK/ETC - I,,
2/15/20,23:16:23,CHILES RD,ENSENADA DR/MACE BL,O,4,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,White,None,Female,F,F,20,None,,,,,Warning (verbal or written),,,,,,,24400 VC,HEADLAMP:OPR/AMT/SIZE:VIO - I,,
2/15/20,03:08:18,W COVELL BL,SR113,O,2,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Asian,None,Male,F,F,20,None,,,,,No action,,,,,,,,,,
2/15/20,10:39:09,E COVELL BL,J ST,O,11,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Hispanic/Latino,None,Male,F,F,24,None,,,,,Citation for infraction,4000(A)(1) VC,NO REG:VEH/TRAILER/ETC - I,,,,,,,,
2/15/20,22:51:36,COWELL BL,DREW AV,O,20,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,Asian,None,Male,F,F,20,None,,,,,Citation for infraction,12500(A) VC,DRIVE W/O LICENSE - M,,,,,,,,
2/16/20,21:56:04,2ND ST,FERMI PL,O,13,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Middle Eastern or South Asian,None,Male,F,F,40,None,,,,,Citation for infraction,22350 VC,UNSAFE SPEED:PREVAIL COND - I,,,,,,,,
2/16/20,02:00:03,5TH ST,D ST,O,4,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,White,None,Male,F,F,45,None,,,,,Warning (verbal or written),,,,,,,24603(E) VC,STOPLAMPS VIOL:N/VISIBLE - I,,
2/16/20,00:49:19,5TH ST,D ST,O,4,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,Hispanic/Latino,None,Male,F,F,18,None,,,,,Warning (verbal or written),,,,,,,24400 VC,HEADLAMP:OPR/AMT/SIZE:VIO - I,,
2/16/20,03:33:22,COWELL BL,ANGELA ST,O,14,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,Hispanic/Latino,None,Male,F,F,40,None,,,,,Warning (verbal or written),,,,,,,5204(A) VC,EXPIRED TABS/FAIL DISPLAY - I,,
2/16/20,00:24:31,5TH ST,L ST,O,13,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,White,None,Female,F,F,22,None,,,,,Citation for infraction,24400 VC,HEADLAMP:OPR/AMT/SIZE:VIO - I,,,,,,,,
2/16/20,21:25:53,B ST,7TH ST,O,3,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,White,None,Male,F,F,50,None,,,,,Warning (verbal or written),,,,,,,24400 VC,HEADLAMP:OPR/AMT/SIZE:VIO - I,,
2/16/20,01:23:11,2ND ST,MACE BL,O,5,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,Black/African American,None,Female,F,F,25,None,,,,,Warning (verbal or written),,,,,,,5200(A) VC,DISPLAY LIC PLATES WRONG - I,,
2/16/20,00:01:39,LA RUE RD,RUSSELL BL,O,3,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,White,None,Male,F,F,35,None,,,,,Warning (verbal or written),,,,,,,24400 VC,HEADLAMP:OPR/AMT/SIZE:VIO - I,,
2/16/20,13:10:34,SYCAMORE LN,ANTELOPE AV,W,51,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,White,None,Male,F,F,28,Search of person was conducted,Officer safety/safety of others,None,,,"Noncriminal transport or caretaking transport (including transport by officer, ambulance or other agency), Psychiatric hold (W&I Code 5150 or 5585.20)",,,,,,,,,,
2/17/20,12:01:16,HAMEL ST,SCHMEISER AV,O,0,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,White,None,Female,F,F,40,None,,,,,Warning (verbal or written),,,,,,,21212(A) VC,FAIL WEAR HELMET:BIKE:-18 - I,,
